"Key","Link","Title","Status","Points","Description","Assignee","Created","Epic"
"CT-6583","https://caretracker.atlassian.net/browse/CT-6583","Custom Lab Extract - Argus - ","Dev Ready","","h1. CareMore Supplemental Data Exchange Report Request - CAS-619899-K2V9V6 According to Christine this will be for all providers that participate in the Anthem PAHAF program - Prohealth only. Originally it across all of Argus but Christine confirmed this is just Prohealth. !image-20260914-195227.png|width=727,alt=""image-20260914-195227.png""!","John Hobby","2026-09-14 15:55:23 Eastern Daylight Time",""
"CT-6530","https://caretracker.atlassian.net/browse/CT-6530","REVIEWED BACKLOG","Dev Ready","",,"Paul Charest","2026-09-09 14:51:20 Eastern Daylight Time",""
"CT-6529","https://caretracker.atlassian.net/browse/CT-6529","Can't unselect / Remove item from the list in Reason Reference field.","Closed","","Once the item is selected, user is unable to clear/remove or unselect the item. If user wants to completely clear the field or doesnâ€™t want any item to be selected. Note : Attachment is added.","Hamza HA. Aman","2026-09-09 12:10:15 Eastern Daylight Time",""
"CT-6520","https://caretracker.atlassian.net/browse/CT-6520","Unsigned Notes Report","Closed","","*Unsigned Notes Report*- For Access Healthcare pcid# 12819. This report is available in report section : Reports>Medical Records>Other Reports>Global-Unsinged and cosigned notes.Â Requesting CT run a one-time report, for the past 2 years data. Thank you ","Paul Charest","2026-09-08 11:09:15 Eastern Daylight Time",""
"CT-6516","https://caretracker.atlassian.net/browse/CT-6516","CAIR2 Direct Connection VXU, QBP and RSP Research - Replacing Iron Bridge","Closed","","h2. Objective Determine what is required for IRIS to connect directly to CAIR2 (California Immunization Registry) for VXU submission, and to add QBP/RSP bidirectional query capability, with the goal of removing Iron Bridge as middleware for California traffic. Current path: CareTracker â†’ IRIS â†’ Iron Bridge â†’ CAIR2 Target path: CareTracker â†’ IRIS â†’ CAIR2 h2. Background Iron Bridge currently sits between IRIS and the state immunization registries as secondary middleware, connected over F","Unassigned","2026-09-08 09:35:07 Eastern Daylight Time",""
"CT-6482","https://caretracker.atlassian.net/browse/CT-6482","B19 Stand up PostgreSQL observability","Dev Ready","","Out: pg_stat_statements, autovacuum and bloat monitoring, connection saturation, replication lag, and alerting on long-running transactions Done: the same questions we can answer about Oracle today can be answered about PostgreSQL","John Hobby","2026-09-04 16:37:48 Eastern Daylight Time","CT-6437"
"CT-6481","https://caretracker.atlassian.net/browse/CT-6481","B18 Configure statistics and autovacuum","Dev Ready","","Out: ANALYZE as mandatory post-load step, and autovacuum tuned for the write volume at this size Done: no query is measured before statistics exist. A freshly loaded cluster with no statistics produces plans that mean nothing","John Hobby","2026-09-04 16:37:46 Eastern Daylight Time","CT-6437"
"CT-6480","https://caretracker.atlassian.net/browse/CT-6480","B17 Define the bulk load procedure","Dev Ready","","Out: a load sequence with constraints, indexes and triggers disabled, then built and validated afterwards Done: the procedure is timed on a sample, and every sequence is advanced past the maximum loaded value. A missed sequence reset is a primary key violation on the first insert after cutover","John Hobby","2026-09-04 16:37:45 Eastern Daylight Time","CT-6437"
"CT-6479","https://caretracker.atlassian.net/browse/CT-6479","B16 How much of the data is LOB","Dev Ready","","Out: the LOB share of the roughly 30 TB, with a size distribution Done: we know whether bytea holds, materialises the whole value in memory and caps at 1 GB, and LOBs are the slowest part of any transfer","John Hobby","2026-09-04 16:37:44 Eastern Daylight Time","CT-6437"
"CT-6478","https://caretracker.atlassian.net/browse/CT-6478","B15 Define connection pooling","Dev Ready","","Out: a pooling design, most likely PgBouncer in transaction mode, sized against the call-site count and the app servers Done: the design names what breaks under transaction pooling: session temp tables, prepared statements, advisory locks and SET state. PostgreSQL runs a process per connection and will not take the Oracle connection pattern as-is","John Hobby","2026-09-04 16:37:43 Eastern Daylight Time","CT-6437"
"CT-6476","https://caretracker.atlassian.net/browse/CT-6476","B13 Decide the cluster encoding and collation","Dev Ready","","Out: the encoding and collation the PostgreSQL cluster is created with, and the expected differences in text sort order against Oracle NLS Done: written down and reviewed. This is set at initdb and changing it later means rebuilding the cluster, so it happens before any data lands","John Hobby","2026-09-04 16:37:40 Eastern Daylight Time","CT-6437"
"CT-6474","https://caretracker.atlassian.net/browse/CT-6474","B11 Define the audit structure and strategy","Dev Ready","","Out: a written audit design covering database-level and application-level logging, retention and access Done: signed off by security, pgAudit is one input, not the answer","John Hobby","2026-09-04 16:37:38 Eastern Daylight Time","CT-6437"
"CT-6473","https://caretracker.atlassian.net/browse/CT-6473","B10 Scale the CDC capture","Dev Ready","","{color:#ff5630}*After B1 B2*{color} Done: the pre-seed plus catch-up path is proven end to end","John Hobby","2026-09-04 16:37:35 Eastern Daylight Time","CT-6437"
"CT-6472","https://caretracker.atlassian.net/browse/CT-6472","B9 Size the cutover window against the data volume","Dev Ready","","{color:#bf2600}*Complete after B1 and B16*{color} Out: a roughly 30 TB measured transfer time for roughly 30 TB Done: we know whether a bulk move fits in any window. The current box caps at 1 Gb, which is about 68 hours at line rate","John Hobby","2026-09-04 16:37:31 Eastern Daylight Time","CT-6437"
"CT-6471","https://caretracker.atlassian.net/browse/CT-6471","B8 Stand up interface connections in the lower environments","Dev Ready","","{color:#ff5630}*Lanying & unassigned after B1 and S13*{color} Out: IRIS and Aptarro reachable from test and QA Done: a message round-trips through each interface in test","John Hobby","2026-09-04 16:37:23 Eastern Daylight Time","CT-6437"
